USPS,FIPS,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                    
TX,48091,1383831,Comal County,1449037063,39890210,559.476,15.402,29.803019,-98.255201
TX,48093,1383832,Comanche County,2428770746,25718019,937.754,9.93,31.951645,-98.549617
TX,48095,1383833,Concho County,2548028356,25624151,983.799,9.894,31.318865,-99.863648
TX,48097,1383834,Cooke County,2265615780,61333893,874.759,23.681,33.639169,-97.210372
TX,48099,1383835,Coryell County,2724838887,12145955,1052.066,4.69,31.391177,-97.798022
TX,48101,1383836,Cottle County,2332448314,2724070,900.563,1.052,34.091906,-100.276442
TX,48103,1383837,Crane County,2033318846,1696040,785.069,0.655,31.422796,-102.487774
TX,48105,1383838,Crockett County,7270944161,53329,2807.327,0.021,30.717532,-101.404211
TX,48107,1383839,Crosby County,2331501397,3873555,900.198,1.496,33.609144,-101.29871
TX,48109,1383840,Culberson County,9875100057,556184,3812.798,0.215,31.445908,-104.526945
TX,48111,1383841,Dallam County,3893423598,5182951,1503.259,2.001,36.28637,-102.59402
TX,48113,1383842,Dallas County,2256602704,96696353,871.279,37.335,32.766987,-96.778424
TX,48115,1383843,Dawson County,2331781493,4720787,900.306,1.823,32.741934,-101.947322
TX,48117,1383845,Deaf Smith County,3876869424,3926829,1496.868,1.516,34.940766,-102.607564
TX,48119,1383846,Delta County,665173912,54666393,256.825,21.107,33.385933,-95.67335
TX,48121,1383847,Denton County,2275129231,193070701,878.432,74.545,33.205005,-97.119046
TX,48123,1383844,DeWitt County,2354235330,3919957,908.975,1.514,29.082342,-97.361656
TX,48125,1383848,Dickens County,2335454793,9057830,901.724,3.497,33.614666,-100.786095
TX,48127,1383849,Dimmit County,3441794213,14576915,1328.884,5.628,28.423587,-99.765871
TX,48129,1383850,Donley County,2400623352,15954077,926.886,6.16,34.955036,-100.815846
TX,48131,1383851,Duval County,4645094317,5478267,1793.481,2.115,27.681123,-98.497393
TX,48133,1383852,Eastland County,2399599329,14047789,926.491,5.424,32.324645,-98.83656
